Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Total Confirmed cases,%share of infected cases,1 / (% share of infected cases),Population Share,(Population share) / (% share of infected cases),Recovery Rate,Death Rate,Population,Infection Rate,Susceptible Population,Rate of change of susceptible population,Action,Reward
25-Mar-20,Maharashtra,125,3,1,3,128,80.50314465,0.012421875,57.5291825,0.714620314,0.78125,2.34375,112374333,0.000113905,112374205,-3.47E-05,1,73344517.07
26-Mar-20,Delhi,35,1,6,1,36,22.5,0.044444444,8.59445833,0.381975926,16.66666667,2.777777778,16787941,0.00021444,16787905,-2.98E-05,1,11712523.88
26-Mar-20,Maharashtra,121,3,1,3,124,77.5,0.012903226,57.5291825,0.742312032,0.806451613,2.419354839,112374333,0.000110345,112374209,3.56E-06,0,112374209
27-Mar-20,Delhi,35,1,6,1,36,21.68674699,0.046111111,8.59445833,0.396300023,16.66666667,2.777777778,16787941,0.00021444,16787905,0,0,16787905
27-Mar-20,Maharashtra,127,3,15,4,130,78.31325301,0.012769231,57.5291825,0.734603407,11.53846154,3.076923077,112374333,0.000115685,112374203,-5.34E-06,1,81193435.51
28-Mar-20,Delhi,38,1,6,1,39,17.80821918,0.056153846,8.59445833,0.482611891,15.38461538,2.564102564,16787941,0.00023231,16787902,-1.79E-05,1,11366364.46
28-Mar-20,Maharashtra,177,3,25,5,180,82.19178082,0.012166667,57.5291825,0.699938387,13.88888889,2.777777778,112374333,0.000160179,112374153,-4.45E-05,1,78400786.21
29-Mar-20,Delhi,48,1,6,2,49,20.85106383,0.047959184,8.59445833,0.412183206,12.24489796,4.081632653,16787941,0.000291876,16787892,-5.96E-05,1,13139959.26
29-Mar-20,Maharashtra,183,3,25,6,186,79.14893617,0.012634409,57.5291825,0.726847198,13.44086022,3.225806452,112374333,0.000165518,112374147,-5.34E-06,1,82420476.08
30-Mar-20,Delhi,86,1,6,2,87,30.52631579,0.032758621,8.59445833,0.281542601,6.896551724,2.298850575,16787941,0.000518229,16787854,-0.000226354,1,10866184.73
30-Mar-20,Maharashtra,195,3,25,8,198,69.47368421,0.014393939,57.5291825,0.828071566,12.62626263,4.04040404,112374333,0.000176197,112374135,-1.07E-05,1,87736130.71
31-Mar-20,Delhi,96,1,6,2,97,30.99041534,0.032268041,8.59445833,0.277326336,6.18556701,2.06185567,16787941,0.000577796,16787844,-5.96E-05,1,10336228.49
31-Mar-20,Maharashtra,213,3,39,9,216,69.00958466,0.014490741,57.5291825,0.833640469,18.05555556,4.166666667,112374333,0.000192215,112374117,-1.60E-05,1,88396611.3
01-Apr-20,Assam,1,0,0,0,1,0.219298246,4.56,15.9754566,72.8480821,0,0,31205576,3.20E-06,31205575,0,0,0
01-Apr-20,Delhi,151,1,6,2,152,33.33333333,0.03,8.59445833,0.25783375,3.947368421,1.315789474,16787941,0.000905412,16787789,-0.000327618,1,7851085.3
01-Apr-20,Jharkhand,1,0,0,0,1,0.219298246,4.56,16.8880236,77.00938762,0,0,32988134,3.03E-06,32988133,0,0,0
01-Apr-20,Maharashtra,299,3,39,9,302,66.22807018,0.015099338,57.5291825,0.868652557,12.91390728,2.98013245,112374333,0.000268745,112374031,-7.65E-05,1,80340778.12
02-Apr-20,Assam,5,0,0,0,5,0.892857143,1.12,15.9754566,17.89251139,0,0,31205576,1.60E-05,31205571,-1.28E-05,1,0
02-Apr-20,Delhi,218,1,8,4,219,39.10714286,0.025570776,8.59445833,0.219766971,3.652968037,1.826484018,16787941,0.001304508,16787722,-0.0003991,1,9709917.499
02-Apr-20,Jharkhand,1,0,0,0,1,0.178571429,5.6,16.8880236,94.57293216,0,0,32988134,3.03E-06,32988133,0,0,0
02-Apr-20,Maharashtra,332,3,42,13,335,59.82142857,0.016716418,57.5291825,0.961681857,12.53731343,3.880597015,112374333,0.000298111,112373998,-2.94E-05,1,86846332.91
03-Apr-20,Assam,16,0,0,0,16,2.797202797,0.3575,15.9754566,5.711225735,0,0,31205576,5.13E-05,31205560,-3.53E-05,1,0
03-Apr-20,Delhi,218,1,8,4,219,38.28671329,0.026118721,8.59445833,0.224476263,3.652968037,1.826484018,16787941,0.001304508,16787722,0,0,16787722
03-Apr-20,Jharkhand,2,0,0,0,2,0.34965035,2.86,16.8880236,48.2997475,0,0,32988134,6.06E-06,32988132,-3.03E-06,1,0
03-Apr-20,Maharashtra,332,3,42,16,335,58.56643357,0.017074627,57.5291825,0.982289325,12.53731343,4.776119403,112374333,0.000298111,112373998,0,0,112373998
04-Apr-20,Assam,24,0,0,0,24,2.497398543,0.400416667,15.9754566,6.39683908,0,0,31205576,7.69E-05,31205552,-2.56E-05,1,0
04-Apr-20,Delhi,444,1,15,6,445,46.30593132,0.021595506,8.59445833,0.185601673,3.370786517,1.348314607,16787941,0.002650712,16787496,-0.001346222,2,3808749.768
04-Apr-20,Jharkhand,2,0,0,0,2,0.208116545,4.805,16.8880236,81.1469534,0,0,32988134,6.06E-06,32988132,0,0,0
04-Apr-20,Maharashtra,487,3,42,24,490,50.98855359,0.019612245,57.5291825,1.128276416,8.571428571,4.897959184,112374333,0.000436043,112373843,-0.000137932,1,91621368.97
05-Apr-20,Assam,26,0,0,0,26,2.544031311,0.393076923,15.9754566,6.279583325,0,0,31205576,8.33E-05,31205550,-6.41E-06,1,0
05-Apr-20,Delhi,502,1,18,7,503,49.21722114,0.020318091,8.59445833,0.17462299,3.578528827,1.391650099,16787941,0.002996198,16787438,-0.000345495,1,8183004.978
05-Apr-20,Jharkhand,3,0,0,0,3,0.293542074,3.406666667,16.8880236,57.53186706,0,0,32988134,9.09E-06,32988131,-3.03E-06,1,0
05-Apr-20,Maharashtra,487,3,42,24,490,47.94520548,0.020857143,57.5291825,1.199894378,8.571428571,4.897959184,112374333,0.000436043,112373843,0,0,112373843
06-Apr-20,Assam,26,0,0,0,26,1.998462721,0.500384615,15.9754566,7.993872706,0,0,31205576,8.33E-05,31205550,0,0,0
06-Apr-20,Delhi,522,1,19,7,523,40.19984627,0.024875717,8.59445833,0.213793313,3.632887189,1.338432122,16787941,0.003115331,16787418,-0.000119137,1,7952503.78
06-Apr-20,Jharkhand,4,0,0,0,4,0.307455803,3.2525,16.8880236,54.92829676,0,0,32988134,1.21E-05,32988130,-3.03E-06,1,0
06-Apr-20,Maharashtra,745,3,56,45,748,57.4942352,0.017393048,57.5291825,1.00060784,7.486631016,6.016042781,112374333,0.000665632,112373585,-0.000229591,1,95164471.99
07-Apr-20,Assam,26,0,0,0,26,1.763907734,0.566923077,15.9754566,9.056855011,0,0,31205576,8.33E-05,31205550,0,0,0
07-Apr-20,Delhi,575,1,21,7,576,39.07734057,0.025590278,8.59445833,0.219934576,3.645833333,1.215277778,16787941,0.003431034,16787365,-0.000315713,1,7372592.273
07-Apr-20,Jharkhand,4,0,0,0,4,0.271370421,3.685,16.8880236,62.23236697,0,0,32988134,1.21E-05,32988130,0,0,0
07-Apr-20,Maharashtra,865,3,56,48,868,58.88738128,0.016981567,57.5291825,0.976935657,6.451612903,5.529953917,112374333,0.000772418,112373465,-0.000106787,1,93784021.94
08-Apr-20,Assam,27,0,0,0,27,1.661538462,0.601851852,15.9754566,9.614858139,0,0,31205576,8.65E-05,31205549,-3.20E-06,1,0
08-Apr-20,Delhi,575,1,21,9,576,35.44615385,0.028211806,8.59445833,0.242465187,3.645833333,1.5625,16787941,0.003431034,16787365,0,0,16787365
08-Apr-20,Jharkhand,4,0,0,0,4,0.246153846,4.0625,16.8880236,68.60759588,0,0,32988134,1.21E-05,32988130,0,0,0
08-Apr-20,Maharashtra,1015,3,79,64,1018,62.64615385,0.015962672,57.5291825,0.918319465,7.760314342,6.286836935,112374333,0.000905901,112373315,-0.000133483,1,95848037.85
09-Apr-20,Assam,28,0,0,0,28,1.517615176,0.658928571,15.9754566,10.5266848,0,0,31205576,8.97E-05,31205548,-3.20E-06,1,0
09-Apr-20,Delhi,668,1,21,9,669,36.2601626,0.027578475,8.59445833,0.237022057,3.139013453,1.34529148,16787941,0.003985003,16787272,-0.000553988,1,7982787.386
09-Apr-20,Jharkhand,13,0,0,0,13,0.704607046,1.419230769,16.8880236,23.96800272,0,0,32988134,3.94E-05,32988121,-2.73E-05,1,0
